,Country,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,Total
,Afghanistan,35,3,41,150,344,377,660,521,235,288,74,2729
,African Union**,53,9,,10,,,,,2,,2,76
,Albania,7,,5,,,,,15,7,7,7,48
,Algeria,159,340,509,1529,1075,829,1115,889,373,487,636,7941
,Angola,39,7,31,29,20,,,,31,2,61,219
,Argentina,3,9,24,23,16,14,46,36,44,14,23,252
,Armenia,,,1,,46,52,5,,16,,,120
,Australia,459,727,675,445,775,1507,1567,876,255,932,1574,9791
,Austria,23,4,269,190,286,7,8,8,6,2,,802
,Azerbaijan,53,159,211,29,142,146,557,333,398,602,285,2916
,Bahamas,3,,,,1,,,,,29,22,55
,Bahrain,66,63,26,20,,103,1,26,78,10,,392
,Bangladesh,10,221,88,13,,35,193,252,727,257,653,2448
,Barbados,,,10,10,10,,,,,,,29
,Belarus,6,140,,,3,,75,75,75,60,164,598
,Belgium,3,27,174,203,90,32,21,32,46,103,49,779
,Benin,,,3,,1,0,0,20,2,,,26
,Bhutan,,,,,,,,,,,1,1
,Bolivia,1,9,2,3,5,1,25,12,1,46,7,112
,Botswana,,,,,13,10,,,8,,,31
,Brazil,224,179,189,179,189,318,312,311,223,284,289,2698
,Brunei,1,2,,,33,33,229,22,15,122,36,492
,Bulgaria,132,22,48,116,119,8,29,5,,,3,482
,Burkina Faso,12,1,4,,2,0,15,4,,5,6,48
,Burundi,,,,,1,2,,5,,,1,9
,Cambodia,,14,56,,4,34,,77,67,,,252
,Cameroon,5,2,,1,,10,,,39,107,2,164
,Canada,124,104,456,408,106,236,351,211,194,306,395,2891
,Cape Verde,,,,,2,,,10,,,,12
,Central African Republic,,9,,0,,,7,,,,,16
,Chad,,17,20,75,35,38,1,4,59,57,,306
,Chile,449,1095,662,397,335,475,316,62,51,125,114,4080
,China,3558,2900,1692,1892,1407,1045,1128,1703,1452,1184,1214,19174
,Colombia,16,56,234,110,248,255,145,207,162,190,215,1837
,Comoros,,,,6,,,,1,,,,7
,Congo,4,1,0,,1,27,,23,12,13,,81
,Costa Rica,,,,,,,,1,,1,,2
,Cote d'Ivoire,,,,,,,,,,6,6,11
,Croatia,,,15,99,4,10,17,17,,63,11,235
,Cyprus,20,26,17,,,44,41,6,,,,154
,Czech Republic,593,45,10,23,6,13,71,22,15,,0,799
,Denmark,120,83,146,95,129,17,,109,42,177,0,920
,Djibouti,7,,,,,,,6,5,12,7,36
,Dominican Republic,2,,,,10,51,12,,,,1,76
,DR Congo,19,17,,18,41,151,,10,1,,,258
,Ecuador,48,17,2,102,77,90,68,88,11,53,1,557
,Egypt,778,678,651,333,159,686,630,281,675,368,1475,6715
,El Salvador,,,,4,,,,2,,20,,26
,Equatorial Guinea,12,,28,30,68,3,82,65,2,92,,380
,Eritrea,98,,4,,,,,,,,,102
,Estonia,23,7,19,29,43,13,1,2,18,2,22,179
,Ethiopia,,,,,,54,76,193,153,30,,506
,Finland,107,136,108,135,42,50,58,76,280,156,228,1374
,France,2,67,74,5,76,103,33,91,107,17,34,610
,Gabon,,20,18,,,22,5,1,2,,3,71
,Gambia,,,,,16,,,,,,,16
,Georgia,92,97,155,91,36,,2,,5,1,,479
,Germany (FRG),204,416,82,292,339,282,84,157,113,114,102,2184
,Ghana,0,0,16,,11,2,76,39,63,14,13,235
,Greece,405,731,1712,516,1229,652,80,37,52,199,762,6374
,Guatemala,,,,0,,,,2,,,33,35
,Guinea,1,,0,,,4,1,4,,5,,15
,Guyana,,,,0,,,,,,,,0
,Hamas (Palestine)*,,,,,,1,2,,,0,,3
,Hezbollah (Lebanon)*,0,9,,,20,20,,,,,,50
,Honduras,,,,0,,,0,0,20,13,6,39
,Hungary,13,253,196,5,4,18,9,,2,7,,505
,Iceland,,,,,,,50,,,,,50
,India,1161,1480,2299,1867,1945,3017,3706,4545,5291,3487,3078,31876
,Indonesia,36,61,577,239,436,225,250,218,802,1136,683,4661
,Iran,57,423,331,62,62,103,103,47,31,13,13,1245
,Iraq,186,305,263,377,398,453,603,474,353,650,1215,5277
,Ireland,5,13,19,22,0,5,2,1,,40,41,147
,Israel,1133,1122,862,676,153,67,85,120,153,510,617,5498
,Italy,162,433,525,220,109,115,298,219,91,145,596,2913
,Jamaica,10,10,13,2,,1,,,1,,2,38
,Japan,464,511,498,680,525,426,292,270,306,480,310,4761
,Jordan,49,48,176,161,234,87,214,175,81,252,198,1674
,Kazakhstan,42,44,82,25,39,58,52,84,141,93,419,1078
,Kenya,,,10,,,112,14,60,1,17,30,243
,Kosovo,,,,,,,,,,1,,1
,Kuwait,12,5,279,5,9,85,113,31,73,692,366,1671
,Kyrgyzstan,3,2,,,,,,,,,,4
,Laos,4,,,7,26,,14,19,19,,7,94
,Latvia,4,9,49,44,11,14,27,9,5,5,1,178
,Lebanon,1,,5,1,52,64,2,31,24,5,50,235
,Lesotho,,1,,,,,,,,,,1
,Libya,1,14,15,16,26,24,8,73,120,10,44,349
,Lithuania,9,52,4,27,27,8,1,1,73,3,21,226
,LTTE (Sri Lanka)*,0,,,,,,,,,,,0
,Luxembourg,,,,,7,7,,1,,,,15
,Macedonia (FYROM),,0,,,,,,,1,,,1
,Madagascar,,,,,0,,,,0,,,0
,Malawi,,,,3,,,,1,2,2,,7
,Malaysia,57,398,526,508,1512,421,5,47,71,73,190,3808
,Maldives,,15,,,,5,,,5,,,24
,Mali,13,,8,3,10,,,9,6,,,49
,Malta,18,,,,,,8,8,,12,,45
,Mauritania,,,,,,9,5,11,10,5,,40
,Mauritius,,,,,,,,,,45,,45
,Mexico,33,75,,22,59,112,229,261,69,97,500,1457
,Mongolia,,,,14,,27,3,51,,,13,107
,Morocco,101,47,27,46,39,306,1398,826,82,572,42,3486
,Mozambique,,,,,,,0,0,9,12,,20
,Myanmar,160,175,138,93,52,63,664,478,237,300,320,2678
,Namibia,,72,6,66,15,,1,57,9,2,,227
,NATO**,,116,,,420,,,22,,,,558
,Nepal,6,,,1,,,3,,,5,14,27
,Netherlands,102,320,240,157,288,193,149,376,332,10,86,2253
,New Zealand,10,5,81,2,48,58,23,25,26,79,56,413
,Nicaragua,,,14,,14,,,,,,,28
,Niger,,,,8,1,0,,,13,3,9,35
,Nigeria,,15,52,19,65,186,65,4,35,224,188,854
,North Korea,5,15,5,5,4,1,,,,,,33
,Norway,14,542,567,624,588,159,614,149,62,23,143,3484
,NTC (Libya)*,,,,,,,0,,,,,0
,Oman,173,301,16,75,93,30,21,120,490,736,148,2201
,Pakistan,421,338,670,1047,1214,2176,1063,1028,1144,752,735,10589
,Palestine,,,2,,14,6,,,,,,21
,Panama,,,,,7,,,15,30,,,52
,Papua New Guinea,,,,,,,,,,3,,3
,Paraguay,1,,,,,3,8,7,0,,,19
,Peru,368,193,172,,43,46,63,10,49,153,169,1266
,Philippines,12,23,16,10,1,3,63,16,75,12,158,390
,PIJ (Israel/Palestine)*,,,,,,,,0,,,,0
,Poland,112,463,990,594,169,158,92,207,155,252,131,3323
,Portugal,157,220,60,144,369,892,168,40,13,4,11,2077
,PRC (Israel/Palestine)*,,,,,,,,,,0,,0
,Qatar,,,27,,286,30,198,319,73,55,655,1643
,Romania,437,61,98,78,56,105,80,21,20,0,22,977
,Russia,,4,100,,8,22,11,98,153,206,88,690
,Rwanda,,2,15,8,11,,,5,11,14,7,72
,Saudi Arabia,167,205,214,363,796,1070,1237,1080,1672,2782,3161,12746
,Senegal,15,9,18,6,4,4,20,,6,7,11,99
,Serbia,,,,,,16,,0,,,,16
,Seychelles,15,,,,,,8,,7,16,,45
,Sierra Leone,,9,,,,,2,0,1,,,12
,Singapore,538,69,355,1113,1481,1020,935,828,780,683,98,7900
,Slovakia,4,,0,,9,9,,2,6,,,29
,Slovenia,3,3,2,,6,40,28,,,,,82
,Somalia,,,,,,,,,3,,0,3
,South Africa,262,708,881,486,128,180,212,132,2,50,,3041
,South Korea,804,1650,1755,1683,796,1250,1553,1066,182,715,245,11699
,South Sudan,,,37,44,1,,61,3,5,18,22,190
,Spain,363,315,337,346,235,290,181,238,176,127,153,2760
,Sri Lanka,58,97,89,71,,5,21,,,5,,347
,Sudan,132,65,33,128,89,182,173,119,196,61,27,1206
,Suriname,,,,,,,,,7,,3,9
,Sweden,78,122,41,44,54,51,191,206,52,43,43,926
,Switzerland,168,83,108,18,39,47,31,9,4,0,2,509
,Syria,35,100,20,276,193,298,368,371,361,15,,2036
,Syria rebels*,,,,,,,,1,1,0,,2
,Taiwan (ROC),691,503,12,11,60,97,198,425,553,1084,681,4314
,Tajikistan,,13,7,,32,,,,3,,,55
,Tanzania,10,12,1,,25,,78,115,92,26,20,379
,Thailand,70,47,8,13,64,49,270,289,392,93,185,1479
,Timor-Leste,,,,,,18,,,,,,18
,Togo,,,,,,1,,4,,16,,21
,Tonga,,,,,,,,,,,5,5
,Trinidad and Tobago,,,6,,,24,12,12,,,46,100
,Tunisia,168,2,,3,,7,7,,38,43,6,273
,Turkey,1113,531,692,710,780,484,770,1503,650,1556,448,9236
,Turkmenistan,,,,7,36,14,236,115,69,102,122,700
,UAE,2170,2021,919,752,561,605,1210,1088,2235,731,1289,13579
,Uganda,10,5,,5,23,37,471,219,20,,3,792
,UIC (Somalia)*,,0,,,,,,,,,,0
,Ukraine,,,,,,,,,,1,10,11
,Ukraine Rebels*,,,,,,,,,,24,,24
,United Kingdom,27,308,764,508,383,511,368,586,492,214,382,4542
,United Nations**,1,2,1,0,,,,,5,23,4,36
,United States,520,641,819,951,968,1111,995,1180,802,566,565,9119
,Unknown country,,,,12,,8,6,,30,31,51,137
,Uruguay,20,8,3,78,29,20,,,6,9,8,181
,Uzbekistan,,,,,,,,,,,62,62
,Venezuela,21,380,774,737,358,208,594,680,1165,173,162,5250
,Viet Nam,297,41,8,204,78,184,1039,766,362,1078,870,4925
,Yemen,317,38,66,40,5,258,45,38,23,6,12,849
,Zambia,0,30,5,2,,,1,66,,,24,126
,Zimbabwe,25,25,,,,,,,,,,49
,,,,,,,,,,,,,
,Total,21625,24692,26489,24178,24293,25857,30239,28673,27282,28070,28626,290024
